,Summary of each Attack,Threat Model,scope/impact of vulnerability,Original research publication ,Company Notifications,CVE(s),Severity,CWE,Affected Hardware,"Mitigation vector (microcode update, kernel flags, etc)",Mitigation Optionality,Summary of each Defense/Patch,Performance Costs of each patch,Patch Embargo?,Embargo start (date reported),(date fixed),Embargo end (date disclosed),Attack bandwidth 
Spectre (v1-4) ðŸŸ¨,"The original speculative execution vulnerabilities consist of Spectre Variants 1, 2, and 4, and Meltdown (Variant 3), all of which exploit performance features in modern 
CPUs to leak data across security boundaries.

Spectre V1 (Bounds Check Bypass, CVE-2017-5753): Tricks the CPU into speculatively running code past an ""if"" condition (like a boundary check) to leak data. 
Affects almost all CPUs.",,,https://spectreattack.com/spectre.pdf,"Intel, AMD, Arm, and major OS vendors (Microsoft, Apple, Linux) 
coordinated disclosure starting January 2018.

AWS: https://aws.amazon.com/security/security-bulletins/AWS-2018-013/ 
SUSE: https://www.suse.com/support/kb/doc/?id=000019105 
Intel, AMD, ARM: https://www.bleepingcomputer.com/news/security/intel-amd-arm-warn-of-new-speculative-execution-cpu-bugs/ 
Intel: https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-00115.html 
Lenovo: https://support.lenovo.com/us/en/solutions/ps500151-reading-privileged-memory-with-a-side-channel 
Dell: modified 12 times so this was original just updated -->  https://www.dell.com/support/kbdoc/en-us/000125160/microprocessor-side-channel-vulnerabilities-meltdown-and-spectre-cve-2017-5715-cve-2017-5753-cve-2017-5754-impact-on-dell-data-security-solutions 
Google: https://googleprojectzero.blogspot.com/2018/01/reading-privileged-memory-with-side.html 

IBM: https://www.ibm.com/docs/en/i/7.4.0?topic=pdse-mitigating-spectre-meltdown-vulnerabilities-in-new-existing-programs","V1: CVE-2017-5753 
V2: CVE-2017-5715 
V4: CVE-2018-3639",,,"3 Most Affected Rationale: Intel, AMD, and ARM are considered the three most significant hardware companies whose CPUs were 
found to be vulnerable to the early variants of Spectre (V1â€“V4). These companies dominate the market for processors that rely on 
speculative execution, the architectural feature that enables the Spectre attacks. 

Intel: https://www.tweaktown.com/news/60411/heres-list-intel-cpus-affected-spectre-meltdown/index.html 
https://www.intel.com/content/www/us/en/security-center/default.html 
https://www.intel.com/content/www/us/en/developer/topic-technology/software-security-guidance/processors-affected-consolidated-product-cpu-model.html
INTEL-SA-00088 and INTEL-SA-00115 are Advisory numbers
AMD: Go to this website https://www.amd.com/en/search/site-search.html#q=CVE-2017 and search each CVE ID
ARM: https://developer.arm.com/documentation/110280/latest/ 
","Summarized Mitigations (3): (source?) --> Included in list below
-Compiler changes (Retpoline), 
-OS patches (IBRS, IBPB, RSB filling), 
-Microcode updates to control speculation.

-For Intel when you search the correct Advisory number in the second link for Intel in cell D2,  
you can then see CVE recommendations which allows for you to go down a rabbit hole for mitigations 
-For AMD the mitigations are included in search from 'affected hardware' section in cell D2
-For ARM the mitigations are listed for these spectre-variants in the link in cell D2


Speculative Load Hardening https://llvm.org/docs/SpeculativeLoadHardening.html
Apple MIE https://security.apple.com/blog/memory-integrity-enforcement/ (claims zero cost!) 
TDI---is this a Spectre defense? https://ieeexplore.ieee.org/document/9833675
",,"Mitigation for these flaws requires a mix of Firmware (Microcode) and Software (OS/Compiler) updates:

Meltdown (V3): Fixed by KPTI (Kernel Page Table Isolation), a major OS change that isolates 
kernel memory from user applications.

Spectre V1: Fixed by Code Hardening (compiler/OS patches) to insert specific instructions like 
LFENCE to block harmful speculation.

Spectre V2: Fixed by Retpoline (software) and/or IBRS/IBPB (firmware) to safely redirect or flush 
the branch predictor's history.

Spectre V4: Fixed by enabling SSBD (Speculative Store Bypass Disable) via microcode and OS 
configuration to prevent speculative reads of old data.","Independent Benchmarking Site: https://www.phoronix.com/review/linux-419-mitigations 
Tom's Hardware: https://www.tomshardware.com/news/amd-cpus-see-less-than-10-performance-drop-from-revised-spectre-v2-mitigations 

Intel: this shows basic performance --> https://edc.intel.com/content/www/us/en/products/performance/benchmarks/overview/ 
this shows initial performance costs on a community post, can't open link to intel blog post -->  https://community.spiceworks.com/t/intel-reveals-performance-loss-data-on-meltdown-spectre-patches/628157/1 
xcdcdc
AMD: can't find
ARM: can't find

see here for some benchmarking: https://www.phoronix.com/review/3-years-specmelt

another source: https://www.servethehome.com/intel-offers-enterprise-meltdown-spectre-benchmarks-gift-amd/

see here: https://llvm.org/docs/SpeculativeLoadHardening.html","AMD: https://www.amd.com/en/resources/product-security.html 
""Disclosure timeliness is determined on an issue-by-issue basis, appropriate to the situation, and with protection of the end-user in mind. In some cases, disclosure may be completed in the common embargo time period of 90 days. In most cases, however, due to eco-system and product complexity, mitigations can take longer to develop, integrate, and provide to end-users. In these cases, a longer embargo period is needed to allow vendors and partners to adequately patch systems.""

Embargo Management: https://apps.dtic.mil/sti/trecms/pdf/AD1172645.pdf ",,,,
Spectre v1 Bounds Check Bypass,,,,,,,,,,,,,,,,,,
"NetSpectre (v1) (let's check if this triggered any additional hardware patches, or if this triggered any software patches (e.g. in the browser)","https://arxiv.org/pdf/1807.10535 
NetSpectre, a an attack based on Spectre variant 1, requiring no attacker-controlled code on the target
device, thus affecting billions of devices. Similar to a local Spectre
attack, our remote attack requires the presence of a Spectre gadget in the code of the target. We show that systems containing the
required Spectre gadgets in an exposed network interface or API
can be attacked with our generic remote Spectre attack, allowing to
read arbitrary memory over the network. The attacker only sends
a series of crafted requests to the victim and measures the response
time to leak a secret value from the victimâ€™s memory",,,,,,,,,,,,,,,,,
Spectre v2 Branch Target Injection (BTI) ðŸŸ¨,"Spectre V2 (Branch Target Injection, CVE-2017-5715): Manipulates the CPU's branch predictor to redirect speculative execution to a malicious code sequence, leaking data across processes or privileges. Affects almost all CPUs.",,,,,,,,,,,,,,,,,
Spectre v2 variant: Branch Privilege Injection (BPI) ðŸŸ¨,,,,https://comsec-files.ethz.ch/papers/bprc_sec25.pdf,,,,,,,,,,,,,,
Spectre v3 Meltdown ðŸŸ¨,"Meltdown (V3, Rogue Data Cache Load, CVE-2017-5754): Primarily affects Intel CPUs. It allows user code to read privileged kernel memory by exploiting a delay in permission checking during speculative execution.",,,https://meltdownattack.com/meltdown.pdf,"Intel, Arm, IBM, and all major OS vendors (Linux, Windows, Apple) were 
notified in mid-2017 and coordinated for a public disclosure on January 3, 2018.",CVE-2017-5754 (Rogue Data Cache Load),,,,"OS-level patches known as KPTI (Kernel Page Table Isolation, formerly KAISER), which logically unmap kernel memory from user space during user execution.",,"OS patches that separate the kernel and user memory address spaces (KPTI) so the privileged kernel 
memory is not mapped in user page tables, which blocks the speculative access attempt.","Significant (5-30% on worst-case scenarios), primarily impacting workloads with frequent system 
calls and I/O due to the added overhead of frequent TLB flushes and page table switching.",,,,,
Spectre v4 Spectre SBB ðŸŸ¨,"Spectre V4 (Speculative Store Bypass, CVE-2018-3639): Allows a memory read to speculatively bypass a pending memory write (store), causing the CPU to read an old, sensitive value. Affects Intel, AMD, and ARM.",,,,,,,,,,,,,,,,,
"Foreshadow / L1TFâœ…

CONNECTED","This method impacts select microprocessor products supporting IntelÂ® Software Guard Extensions (IntelÂ® SGX). Further investigation by Intel has identified two related applications of L1TF with the potential to impact additional microprocessors, operating systems, system management mode, and virtualization software. If used for malicious purposes, this class of vulnerability has the potential to improperly infer data values from multiple types of computing devices. âœ…","""Attack Model and Objectives"" section on page 3:
multitenancy in the cloud (find citation)
user-space privileges. 
Also consider root-level adversaries 


Crucially, in contrast to all previously published SGX side-channel attacks and existing
Spectre-style speculative execution attacks against
SGX enclaves, Foreshadow does not require any sidechannel vulnerabilities, code gadgets, or even knowledge of the victim enclaveâ€™s code

âœ…",The vulnerability is a speculative execution attack on Intel processors that may result in the disclosure of sensitive information stored in personal computers and third-party clouds. Malicious applications or guest VMs may infer data in the OS or VM memory âœ…,"https://foreshadowattack.eu/foreshadow.pdf

https://foreshadowattack.eu/foreshadow-NG.pdf


âœ…","Intel, Microsoft, Oracle, AWS, Google, and other major cloud/OS vendors were 
notified and coordinated for a public disclosure on August 14, 2018.

Microsoft: Guidance to mitigate L1TF variant
https://msrc.microsoft.com/update-guide/en-us/advisory/ADV180018 
Analysis and mitigation of L1 Terminal Fault (L1TF)
https://www.microsoft.com/en-us/msrc/blog/2018/08/analysis-and-mitigation-of-l1-terminal-fault-l1tf 

Google: https://cloud.google.com/blog/products/gcp/protecting-against-the-new-l1tf-speculative-vulnerabilities 

AWS: https://aws.amazon.com/security/security-bulletins/AWS-2018-019/ 

Cisco: https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20180814-cpusidechannel 

âœ…","All Listed:

CVE-2018-3615 (SGX)
CVE-2018-3620 (OS/SMM)
CVE-2018-3646 (VMM/VM)

âœ…","6.4 Medium: CVE-2018-3615 (SGX) 

5. 6 Medium: CVE-2018-3620 (OS/SMM)

5.6 Medium: CVE-2018-3646 (VMM/VM)


âœ…","CVE-2018-3615 (SGX) --> CWE-203

CVE-2018-3620 (OS/SMM) --> CWE-203

CVE-2018-3646 (VMM/VM) --> N/A
CVE-2018-3646 (VMM/VM) --> RedHat

âœ…","Only Intel CPUs affected
https://www.bleepingcomputer.com/news/security/researchers-disclose-new-foreshadow-l1tf-vulnerabilities-affecting-intel-cpus/#:~:text=aka%20Foreshadow%2DNG-,Only%20Intel%20CPUs%20are%20affected,-According%20to%20the 


Intel: https://www.intel.com/content/www/us/en/developer/articles/technical/software-security-guidance/resources/processors-affected-l1tf.html 


âœ…","microcode update


âœ…","Should be done ASAP based on severity and possible impact

âœ…","Recommended Actions:  


âœ…","Intel Publishes L1TF and Foreshadow Performance Impacts:     https://www.servethehome.com/intel-publishes-l1tf-and-foreshadow-performance-impacts/ 



Phoronix: https://www.phoronix.com/review/l1tf-foreshadow-xeon/5#google_vignette 

âœ…","Yes, refer to next 3 columns


âœ…","On Page 2 the ""Disclosure"" section 
January 3rd, 2018
âœ…","Most fixes I found ranged from August 14th-16th 2018, Here is Intel's
âœ…","Based on information found in multiple articles in the Foreshadow row, August 14th was the disclosure date (embargo end date)

âœ…","Foreshadow paper doesn't report bandwidth in traditional KB/s metrics, but rather in terms of success rates per cache line extraction.


""Microbenchmark Evaluation"" section of pages 10 and 11


âœ…"
L1TF Reloaded (Rain),"CVE-2018-3620 (operating systems and SMM)
CVE-2018-3646 (virtualization environments)",,,https://bughunters.google.com/blog/4684191115575296/project-rain-l1tf,,,,,,,,,,,,,,
Retbleedâœ…,"An addition to the family of speculative execution attacks that exploit branch target injection to leak information, which we call Spectre-BTI. Unlike its siblings, who trigger harmful branch target speculation by exploiting indirect jumps or calls, Retbleed exploits return instructions. This means a great deal, since it undermines some of our current Spectre-BTI defenses.

A Spectre-V2 variant that bypasses the Retpoline defense by forcing a return instruction (RET) to be 
predicted like an indirect branch, allowing an attacker to inject an arbitrary speculative execution 
target (gadget).  

âœ…","Run a keyword search for ""threat model"":


We consider a realistic threat model where an unprivileged attacker process aims to leak privileged information from the victim kernel

âœ…","An unprivileged attacker can use these flaws to bypass conventional memory security restrictions to gain read access to privileged memory that would otherwise be inaccessible.

âœ…","https://comsec.ethz.ch/research/microarch/retbleed/

âœ…","ETH Zurich researchers coordinated with AMD, Intel, and major 
operating system/hypervisor vendors for public disclosure in July 2022.

Intel: https://www.intel.com/content/www/us/en/developer/articles/technical/software-security-guidance/advisory-guidance/return-stack-buffer-underflow.html 
Ubuntu: https://ubuntu.com/security/vulnerabilities/retbleed 
SUSE: https://support.scc.suse.com/s/kb/Security-vulnerability-RETBLEED-transient-execution-information-leak-side-channel-attack-CVE-2022-29900-CVE-2022-29901?language=en_US 
AMD: https://www.amd.com/en/resources/product-security/bulletin/amd-sb-1037.html 


âœ…","All Listed:

CVE-2022-29900 (AMD) 
CVE-2022-29901 (Intel)
CVE-2022-28693 (Intel)

âœ…","6.5 Medium: CVE-2022-29900 (AMD) 
6.5 Medium: CVE-2022-29901 (Intel)
4.7 Medium: CVE-2022-28693 (Intel)

âœ…","https://cwe.mitre.org/data/definitions/668.html 

CVE-2022-28693 (Intel) --> CWE-420 (Unprotected Alternate Channel)

âœ…","Phoronix: Security researchers found that AMD Zen 1/1+/2 and Intel Core 6th through 8th Gen processors. 


ETH Zurich: Affected Machines: 


âœ…","Kernel patches to implement modified speculative barriers (IBPB or Jmp2Ret for AMD) 
that force return instructions to jump to a safe landing pad, preventing the hijacking of the 
Return Stack Buffer (RSB).

https://access.redhat.com/solutions/retbleed#:~:text=CVE%2D2022%2D23825-,Mitigations,-
Red%20Hat%20Enterprise 

Page 13: https://comsec.ethz.ch/wp-content/files/retbleed_sec22.pdf 

SUSE: https://support.scc.suse.com/s/kb/Security-vulnerability-RETBLEED-transient-execution-information-leak-side-channel-attack-CVE-2022-29900-CVE-2022-29901?language=en_US 
 


âœ…","Based on severity and impact, should be done asap

âœ…","Software defenses that modify kernel returns to use a safe trampoline (Jmp2Ret) or by applying the 
IBPB barrier to clear the branch predictor's state on privilege boundary crossings.

Refer to Links in Mititgations Column as well.


Includes many patches / mitigations: https://support.scc.suse.com/s/kb/Security-vulnerability-RETBLEED-transient-execution-information-leak-side-channel-attack-CVE-2022-29900-CVE-2022-29901?language=en_US 

âœ…","High and severe, with Linux testing showing up to 14% overhead on affected AMD CPUs and up 
to 39% overhead on affected Intel CPUs.

see benchmarking here. https://www.phoronix.com/review/retbleed-benchmark
Red Hat: https://access.redhat.com/solutions/7011413 
Intel & AMD & Phantom JMPs: https://comsec.ethz.ch/research/microarch/retbleed/#:~:text=14%25%20and%2039%25-,overhead,-with%20the%20AMD 


âœ…","Page 2 under ""Responsible Disclosure""

***Refer to this link for embargo start and embargo end columns

âœ…","February 2022 as mentioned in PDF under ""Patch Embargo"" Column

âœ…","By July 15th 2022, AMD and Intel have announced patches for the bugs, and software vendors have started rolling them out to their users as well.


âœ…","July 12th, 2022 as mentioned in PDF under ""Patch Embargo"" Column

âœ…","Run a keyword search for ""bandwidth"": 

AMD CPUs range from 14.8 kB/s - 22.5 kB/s
Intel CPUs range from 3.6 kB/s - 5.9 kB/s

âœ…"
"Speculative Return Stack Overflow (SRSO) (""Inception"") ðŸŸ¨","A Spectre-like vulnerability on AMD CPUs, that poisons the Branch Target Buffer (BTB) 
and Return Address Predictor (RAP), and then uses an overflow to control the speculative target of a 
subsequent return instruction (RET).

TODO and Intel as well? ","We consider a typical scenario where an unprivileged attacker
process aims to leak sensitive information from the kernel.
We assume the kernel to be free of software vulnerabilities,
and running on a processor that supports speculative and
out-of-order execution. Specifically, in this work we target the
Linux kernel running on x86-64 Intel and AMD processors.
We also assume the default configuration of all existing miti-
gations against transient execution attacks. These mitigations
include retpoline [3, 13], call-depth tracking [56], jmp2ret
and SuppressBPOnNonBr [6], user pointer sanitization [1],
KPTI [23], and disabling of unprivileged eBPF [38]. For
our TTE primitives, we consider CPUs from both Intel and
AMD, but our end-to-end exploit requires the processor to be
affected by PHANTOM speculation (AMD Zen 1 (+), Zen 2,
Zen 3 or Zen 4 [51]). For Zen 4, we additionally consider
Automatic IBRS, supported in Linux 6.3 and later [40].","-May access privileged memory
-They can read compromised data, not modify it
-Occurs within a short window due to nature 
of speculative execution, and doesn't work on 
servers only executing trusted code","

https://comsec.ethz.ch/research/microarch/inception/","AMD had an initital disclosure of August 8th, 2023

https://www.amd.com/content/dam/amd/en/documents/epyc-technical-docs/white-papers/amd-epyc-9004-wp-srso.pdf",CVE-2023-20569 (aka INCEPTION),"4.7 Medium:
CVE-2023-20569  (INCEPTION)",CVE-2023-20569 --> CWE-203,"AMD Zen generations 1-4 --> all families 0x17 and 0x19

Intel? TODO ","Microcode updates and software patches for Safe-RET (forces returns to a controlled location) 
or use of the IBPB barrier on privilege transitions.","Most of those mitigations are configurable/optional, but microcode is required for the full set of protections to work. Which mitigations are available and which are automatically enabled depends on (a) whether you have the extended IBPB microcode loaded, (b) the CPUâ€™s CPUID bits, and (c) the kernel boot / runtime settings and your threat model.","Branch prediction state flush: flushing the branch predictor state on privilege transitions on certain microarchitectures


Safe RET: A hardware/software combination that uses a Safe-RET sequence to force all return speculation to a 
harmless, controlled location, and optionally employs IBPB to flush the relevant predictors across 
security boundaries.

IBPB: TODO ","Branch prediction state flush: To fully mitigate, Branch predictor state has to be fully flushed while switching between distrusting contexts.  Zen 1(+) and Zen 2 have an overhead ranging from 93.1%-216.9% depending on specific 
microarchitecture Zen 3 and Zen 4 no proper hardware support to flush the entire branch predictor state.  AMD have released microcode to enable this feature.

Safe RET: Phoronix: (TODO investigate)

IBPB: Phoronix: (TODO investigate) ","Yes, Page 2 under ""Responsible Disclosure""

","Page 2 under ""Responsible Disclosure""
February 2023
",,"Page 2 under ""Responsible Disclosure""
August 8th 2023","Zen 1(+) and Zen 2:  126 bytes/s, with an accuracy of 89.9%

Zen 3 and Zen 4: 39 bytes/s of kernel memory, with an accuracy of 93.5%"
MDS - Microarchitectural Data Sampling (combination of four different attacks),"A class of speculative execution attacks that ""samples"" or leaks data from temporary internal CPU buffers 
(Store, Load Port, and Fill Buffers) that hold ""in-flight"" data before it is written to memory.

Note: MDS refers to ZombieLoad, RIDL, and Fallout collectively ",,,https://www.intel.com/content/www/us/en/developer/articles/technical/software-security-guidance/advisory-guidance/microarchitectural-data-sampling.html,"Intel coordinated with Microsoft, Apple, Google, AWS, Red Hat, and other major 
OS/Cloud vendors for a public disclosure on May 14, 2019.","CVE-2018-12126 (MSBDS) 
CVE-2018-12127 (MLPDS) 
CVE-2018-12130 (MFBDS) 
CVE-2019-11091 (MDSUM)",,,,"Microcode updates adding the VERW or MD_CLEAR instruction to flush internal CPU buffers, 
often requiring disabling SMT/Hyper-Threading for full cross-thread protection.",,"A coordinated effort by OS and hypervisor vendors to use new MD_CLEAR CPU instructions 
(provided via microcode) to erase the contents of the vulnerable microarchitectural buffers on 
security boundary crossings.","Variable but significant, with some Apple testing showing up to a 40% reduction in performance in 
multithreaded workloads when SMT/Hyper-Threading is disabled.",,,,,
Rogue in-flight data load (RIDL),"A specific MDS attack that leaks arbitrary ""in-flight"" data from the Line Fill Buffers and Load Ports 
by triggering a fault that allows a speculative load to sample the buffer contents.",,,https://mdsattacks.com/files/ridl.pdf,"Disclosed as part of the Microarchitectural Data Sampling (MDS) release 
coordinated by researchers and Intel on May 14, 2019.","CVE-2018-12127 (MLPDS)
CVE-2018-12130 (MFBDS)",,,,"Microcode updates (MD_CLEAR/VERW) and kernel patches to flush the buffers on privilege 
transitions. Disabling SMT/Hyper-Threading is often necessary for full isolation between 
logical cores.",,"Implementation of the MD_CLEAR instruction via microcode and OS/Hypervisor software to clear 
the Line Fill Buffers and Load Ports on security boundaries to ensure no stale data remains for sampling.","Included in the general MDS/SMT mitigation costs, which can be significant (up to 40%) 
in multi-threaded environments, as SMT must be disabled or frequently flushed.",,,,,
Load Value Injection (LVI) ðŸŸ¨,"This attack forces a victim to transiently compute on unintended data,
other than the expected value in trusted memory. Injecting such
unexpected load values forces a victim to transiently execute
gadget code immediately following the faulting or assisted load
instruction with unintended operands (Page 4 Under ""Attack Overview"")","LVI brings a significant change in the threat model, similar to switching from branch history 
side-channels to Spectre-type attacks. Crucially, LVI has the potential to replace the outcome of any victim load,  including implicit load microops like in the x86 ret instruction, with attacker-controlled data. This is in sharp contrast to Spectre-type attacks, which can only replace the outcomes of branches and store-to-load
dependencies by poisoning execution metadata accumulated in
various microarchitectural predictors.
Page 4 under ""Load Value Injection""","In the context of LVI, an malicious OS can cause arbitrary loads to fault or assist during enclave execution by marking an enclave page as not present, and then resuming the enclave. The next time the enclave code attempts to load from any address within the page marked not present, the memory access will fault, and stale data or a value of 0 may be forwarded to dependent instructions.",https://lviattack.eu/lvi.pdf ,Intel Disclosure,CVE-2020-0551,5.6 Medium,"Not Available, Insufficient Information","Intel Processors with SGX tech and varied microarchitecture

2nd-10th Gen Intel Processors","Microcode necessary but not enough

LFENCE before indirect branches + protected RET
LFENCE after loads + LFENCE before branches + protected RET
Intel Mitigations^^^
","Intel considers LVI particularly severe for SGX and provides a compiler and
assembler-based full mitigation for enclave programs
Under ""Responsible Disclosure & Impact"" section on Page 2 
OSes and VMMs that have already been mitigated against Spectre and L1TF/MDS will significantly reduce the risk of LVI attacks against the OS or VMM.
","1. Load+Transmit Mitigation blocks leaked values by inserting LFENCE after every load instruction.
2. Load+Load+Transmit Mitigation prevents attacker-controlled addresses from loading secrets and is automatically covered by mitigating Load+Transmit.
3. Load+Branch Mitigation stops control flow hijacking by inserting LFENCE after loads feeding branches and replacing RET/indirect jumps with LFENCE-protected sequences.
4. RET Instruction Protection secures return instructions by replacing RET with POP-LFENCE-JMP (compiler) or SHL-LFENCE-RET (assembler).
5. Indirect Call/Jump Protection prevents injected values in indirect jumps/calls by loading to a register, inserting LFENCE, then jumping.
6. REP String Instructions Protection stops secret leakage from data-dependent iterations by unfolding REP CMPS/SCAS into loops with LFENCE after each operation.


All Defenses Link","Figure 8 (for OpenSSL on an Intel i7-6700K CPU) on top of page 14

gcc-lfence: 352.51% to 1868.18%

clang-full: 98.94% to 1365.48%

clang-ret: 0.6% to 15.39% (with one outlier at 82.56% for ghash)

own-full: 247.1% to 1642.88%

own-ret: 0.6% to 12.8% (with one outlier at 82.56% for ghash).

Figure 9 (for SPEC2017 on an Intel i9-9900K CPU) on top of page 14

gcc-lfence (non-optimized assembler): This mitigation shows the highest overhead, ranging from 281.6% (602.gcc) to 1081.26% (600.perlbench).

clang-full (optimized clang, full mitigation): This optimized version has a lower but still significant overhead, with a range from 67.09% (623.xalancbmk) to 404.58% (600.perlbench).

clang-ret (optimized clang, ret-only): This partial mitigation generally has the lowest overhead, ranging from 2.52% (657.xz) to 207.55% (602.gcc).



Phoronix: https://www.phoronix.com/review/lvi-attack-perf/2 ","yes, confirmed in orginal publication
Page 2 under section: ""Responsible Disclosure & Impact""","April 4th, 2019
Under same section","Only fix is new hardware
In ""Conclusion"" section on page 15",March 10 2020,Can't find????
